"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of ribosome","GO:0003735","0.0001521162106504342","3.817824501785988","148","6","5","2920","O96258,O97248,Q8IB51,Q8IBQ5,Q8IIX0"
"GO:MF","structural molecule activity","GO:0005198","0.00041727040290763317","3.3795824188103327","181","6","5","2920","O96258,O97248,Q8IB51,Q8IBQ5,Q8IIX0"
"GO:MF","ribonucleoprotein complex binding","GO:0043021","0.29500910968772864","0.5301645730861488","46","6","2","2920","Q8IIX0,Q8IKW5"
"GO:MF","kinase activator activity","GO:0019209","0.3462115811091728","0.46065840865102226","2","6","1","2920","Q8IIX0"
"GO:MF","protein kinase activator activity","GO:0030295","0.3462115811091728","0.46065840865102226","2","6","1","2920","Q8IIX0"
"GO:MF","protein-containing complex binding","GO:0044877","0.9594004740081423","0.018000071299484045","84","6","2","2920","Q8IIX0,Q8IKW5"
"GO:MF","nucleotide binding","GO:0000166","1","0","594","6","1","2920","Q8IKW5"
"GO:MF","protein kinase regulator activity","GO:0019887","1","0","14","6","1","2920","Q8IIX0"
"GO:MF","enzyme regulator activity","GO:0030234","1","0","77","6","1","2920","Q8IIX0"
"GO:MF","ribonucleotide binding","GO:0032553","1","0","537","6","1","2920","Q8IKW5"
"GO:MF","purine ribonucleotide binding","GO:0032555","1","0","532","6","1","2920","Q8IKW5"
"GO:MF","guanyl ribonucleotide binding","GO:0032561","1","0","91","6","1","2920","Q8IKW5"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","1","0","522","6","1","2920","Q8IKW5"
"GO:MF","kinase regulator activity","GO:0019207","1","0","15","6","1","2920","Q8IIX0"
"GO:MF","small molecule binding","GO:0036094","1","0","614","6","1","2920","Q8IKW5"
"GO:MF","ion binding","GO:0043167","1","0","883","6","1","2920","Q8IKW5"
"GO:MF","anion binding","GO:0043168","1","0","570","6","1","2920","Q8IKW5"
"GO:MF","translation regulator activity","GO:0045182","1","0","86","6","1","2920","Q8IKW5"
