"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","transferase activity, transferring sulphur-containing groups","GO:0016782","0.015488473566335318","1.8099913811034738","8","8","2","2920","C6KT59,Q8IBI5"
"GO:MF","methyltransferase activity","GO:0008168","0.1883093531501895","0.7251281084451746","105","8","3","2920","C6KT59,Q8I324,Q8IJD1"
"GO:MF","transferase activity, transferring one-carbon groups","GO:0016741","0.19886207364045444","0.7014480362784727","107","8","3","2920","C6KT59,Q8I324,Q8IJD1"
"GO:MF","cystathionine gamma-lyase activity","GO:0004123","0.2325743656534073","0.6334381549075769","1","8","1","2920","Q8IBI5"
"GO:MF","alkylthioltransferase activity","GO:0050497","0.2325743656534073","0.6334381549075769","1","8","1","2920","C6KT59"
"GO:MF","methylthiotransferase activity","GO:0035596","0.2325743656534073","0.6334381549075769","1","8","1","2920","C6KT59"
"GO:MF","N6-threonylcarbomyladenosine methylthiotransferase activity","GO:0035598","0.2325743656534073","0.6334381549075769","1","8","1","2920","C6KT59"
"GO:MF","iron-sulfur cluster binding","GO:0051536","0.3540130791454025","0.4509806925060019","37","8","2","2920","C6KT59,Q8IBI5"
"GO:MF","metal cluster binding","GO:0051540","0.3540130791454025","0.4509806925060019","37","8","2","2920","C6KT59,Q8IBI5"
"GO:MF","cysteine desulfurase activity","GO:0031071","0.696051046895782","0.15735890899258603","3","8","1","2920","Q8IBI5"
"GO:MF","nucleotide binding","GO:0000166","1","0","594","8","1","2920","Q8ID85"
"GO:MF","heterocyclic compound binding","GO:1901363","1","0","1221","8","3","2920","Q8IB25,Q8IBI5,Q8ID85"
"GO:MF","nucleoside phosphate binding","GO:1901265","1","0","594","8","1","2920","Q8ID85"
"GO:MF","ATP-dependent activity","GO:0140657","1","0","285","8","1","2920","Q8ID85"
"GO:MF","catalytic activity, acting on a nucleic acid","GO:0140640","1","0","351","8","1","2920","Q8ID85"
"GO:MF","catalytic activity, acting on DNA","GO:0140097","1","0","108","8","1","2920","Q8ID85"
"GO:MF","molecular function regulator activity","GO:0098772","1","0","104","8","1","2920","C0H5A0"
"GO:MF","carbohydrate derivative binding","GO:0097367","1","0","552","8","1","2920","Q8ID85"
"GO:MF","organic cyclic compound binding","GO:0097159","1","0","1222","8","3","2920","Q8IB25,Q8IBI5,Q8ID85"
"GO:MF","vitamin B6 binding","GO:0070279","1","0","9","8","1","2920","Q8IBI5"
"GO:MF","4 iron, 4 sulfur cluster binding","GO:0051539","1","0","21","8","1","2920","C6KT59"
"GO:MF","metal ion binding","GO:0046872","1","0","389","8","2","2920","C6KT59,Q8IBI5"
"GO:MF","protein-containing complex binding","GO:0044877","1","0","84","8","1","2920","C0H5A0"
"GO:MF","cation binding","GO:0043169","1","0","398","8","2","2920","C6KT59,Q8IBI5"
"GO:MF","anion binding","GO:0043168","1","0","570","8","2","2920","Q8IBI5,Q8ID85"
"GO:MF","ion binding","GO:0043167","1","0","883","8","3","2920","C6KT59,Q8IBI5,Q8ID85"
"GO:MF","5'-3' DNA helicase activity","GO:0043139","1","0","6","8","1","2920","Q8ID85"
"GO:MF","ribosome binding","GO:0043022","1","0","28","8","1","2920","C0H5A0"
"GO:MF","ribonucleoprotein complex binding","GO:0043021","1","0","46","8","1","2920","C0H5A0"
"GO:MF","hydrolase activity, acting on acid anhydrides","GO:0016817","1","0","218","8","1","2920","Q8ID85"
"GO:MF","hydrolase activity","GO:0016787","1","0","694","8","1","2920","Q8ID85"
"GO:MF","sulfurtransferase activity","GO:0016783","1","0","7","8","1","2920","Q8IBI5"
"GO:MF","transferase activity","GO:0016740","1","0","566","8","4","2920","C6KT59,Q8I324,Q8IBI5,Q8IJD1"
"GO:MF","pyrophosphatase activity","GO:0016462","1","0","214","8","1","2920","Q8ID85"
"GO:MF","ATP-dependent activity, acting on DNA","GO:0008094","1","0","54","8","1","2920","Q8ID85"
"GO:MF","ATP binding","GO:0005524","1","0","437","8","1","2920","Q8ID85"
"GO:MF","protein binding","GO:0005515","1","0","797","8","3","2920","C0H5A0,C6KSR4,Q8ID85"
"GO:MF","binding","GO:0005488","1","0","2077","8","6","2920","C0H5A0,C6KSR4,C6KT59,Q8IB25,Q8IBI5,Q8ID85"
"GO:MF","helicase activity","GO:0004386","1","0","90","8","1","2920","Q8ID85"
"GO:MF","catalytic activity","GO:0003824","1","0","1540","8","5","2920","C6KT59,Q8I324,Q8IBI5,Q8ID85,Q8IJD1"
"GO:MF","RNA binding","GO:0003723","1","0","419","8","1","2920","Q8IB25"
"GO:MF","DNA helicase activity","GO:0003678","1","0","35","8","1","2920","Q8ID85"
"GO:MF","nucleic acid binding","GO:0003676","1","0","764","8","1","2920","Q8IB25"
"GO:MF","molecular_function","GO:0003674","1","0","2916","8","8","2920","C0H5A0,C6KSR4,C6KT59,Q8I324,Q8IB25,Q8IBI5,Q8ID85,Q8IJD1"
"GO:MF","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0016818","1","0","218","8","1","2920","Q8ID85"
"GO:MF","lyase activity","GO:0016829","1","0","69","8","1","2920","Q8IBI5"
"GO:MF","carbon-sulfur lyase activity","GO:0016846","1","0","5","8","1","2920","Q8IBI5"
"GO:MF","ATP hydrolysis activity","GO:0016887","1","0","123","8","1","2920","Q8ID85"
"GO:MF","small molecule binding","GO:0036094","1","0","614","8","2","2920","Q8IBI5,Q8ID85"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","1","0","522","8","1","2920","Q8ID85"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","1","0","446","8","1","2920","Q8ID85"
"GO:MF","purine ribonucleotide binding","GO:0032555","1","0","532","8","1","2920","Q8ID85"
"GO:MF","ribonucleotide binding","GO:0032553","1","0","537","8","1","2920","Q8ID85"
"GO:MF","adenyl nucleotide binding","GO:0030554","1","0","448","8","1","2920","Q8ID85"
"GO:MF","enzyme regulator activity","GO:0030234","1","0","77","8","1","2920","C0H5A0"
"GO:MF","pyridoxal phosphate binding","GO:0030170","1","0","8","8","1","2920","Q8IBI5"
"GO:MF","kinase binding","GO:0019900","1","0","10","8","1","2920","C0H5A0"
"GO:MF","enzyme binding","GO:0019899","1","0","57","8","1","2920","C0H5A0"
"GO:MF","protein kinase regulator activity","GO:0019887","1","0","14","8","1","2920","C0H5A0"
"GO:MF","vitamin binding","GO:0019842","1","0","14","8","1","2920","Q8IBI5"
