"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA binding","GO:0003677","0.14085529303209168","0.8512268285401978","233","21","7","2920","C6KSY0,Q8I282,Q8IAM1,Q8IAN4,Q8IJA6,Q8ILY1,Q9U0H1"
"GO:MF","3'-5' exonuclease activity","GO:0008408","0.19547187164759505","0.7089157286370716","30","21","3","2920","Q8I282,Q8ILY1,Q9U0H1"
"GO:MF","chromatin binding","GO:0003682","0.5228304589416509","0.2816391193222607","42","21","3","2920","C0H598,Q8I482,Q9U0H1"
"GO:MF","exonuclease activity","GO:0004527","0.6786534658436179","0.16835192864879855","46","21","3","2920","Q8I282,Q8ILY1,Q9U0H1"
"GO:MF","DNA-directed DNA polymerase activity","GO:0003887","0.8316226127635342","0.08007371021971023","15","21","2","2920","Q8ILY1,Q9U0H1"
"GO:MF","DNA polymerase activity","GO:0034061","0.9463159592532235","0.023963835638383255","16","21","2","2920","Q8ILY1,Q9U0H1"
"GO:MF","mannosyltransferase activity","GO:0000030","1","0","6","21","1","2920","C0H4S1"
"GO:MF","5'-3' DNA helicase activity","GO:0043139","1","0","6","21","1","2920","Q8ILY1"
"GO:MF","small molecule binding","GO:0036094","1","0","614","21","8","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHR4,Q8IHY1,Q8ILY1,Q9U0H1"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","1","0","522","21","7","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHR4,Q8IHY1,Q8ILY1"
"GO:MF","5'-3' RNA polymerase activity","GO:0034062","1","0","35","21","1","2920","Q8ILY1"
"GO:MF","guanyl ribonucleotide binding","GO:0032561","1","0","91","21","1","2920","Q8IHR4"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","1","0","446","21","6","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHY1,Q8ILY1"
"GO:MF","purine ribonucleotide binding","GO:0032555","1","0","532","21","7","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHR4,Q8IHY1,Q8ILY1"
"GO:MF","ribonucleotide binding","GO:0032553","1","0","537","21","7","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHR4,Q8IHY1,Q8ILY1"
"GO:MF","nucleosome binding","GO:0031491","1","0","10","21","1","2920","Q8I482"
"GO:MF","adenyl nucleotide binding","GO:0030554","1","0","448","21","6","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHY1,Q8ILY1"
"GO:MF","enzyme regulator activity","GO:0030234","1","0","77","21","1","2920","C0H598"
"GO:MF","protein kinase binding","GO:0019901","1","0","8","21","1","2920","C6KSW6"
"GO:MF","ion binding","GO:0043167","1","0","883","21","7","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHR4,Q8IHY1,Q8ILY1"
"GO:MF","kinase binding","GO:0019900","1","0","10","21","1","2920","C6KSW6"
"GO:MF","ubiquitin-like protein transferase activity","GO:0019787","1","0","60","21","1","2920","Q8IDD9"
"GO:MF","protein-cysteine S-acyltransferase activity","GO:0019707","1","0","12","21","1","2920","O97224"
"GO:MF","protein-cysteine S-palmitoyltransferase activity","GO:0019706","1","0","12","21","1","2920","O97224"
"GO:MF","pyrimidine nucleotide binding","GO:0019103","1","0","1","21","1","2920","Q9U0H1"
"GO:MF","guanyl nucleotide binding","GO:0019001","1","0","91","21","1","2920","Q8IHR4"
"GO:MF","serine hydrolase activity","GO:0017171","1","0","27","21","1","2920","Q8I433"
"GO:MF","nucleoside-triphosphatase activity","GO:0017111","1","0","197","21","2","2920","Q8I377,Q8IHR4"
"GO:MF","purine nucleotide binding","GO:0017076","1","0","535","21","8","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHR4,Q8IHY1,Q8ILY1,Q9U0H1"
"GO:MF","exodeoxyribonuclease activity, producing 5'-phosphomonoesters","GO:0016895","1","0","17","21","1","2920","Q8I282"
"GO:MF","ATP hydrolysis activity","GO:0016887","1","0","123","21","1","2920","Q8I377"
"GO:MF","phosphorus-oxygen lyase activity","GO:0016849","1","0","7","21","1","2920","Q8IHY1"
"GO:MF","lyase activity","GO:0016829","1","0","69","21","1","2920","Q8IHY1"
"GO:MF","enzyme binding","GO:0019899","1","0","57","21","2","2920","C0H598,C6KSW6"
"GO:MF","anion binding","GO:0043168","1","0","570","21","7","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHR4,Q8IHY1,Q8ILY1"
"GO:MF","cation binding","GO:0043169","1","0","398","21","1","2920","Q8IHY1"
"GO:MF","sequence-specific DNA binding","GO:0043565","1","0","37","21","1","2920","Q9U0H1"
"GO:MF","nucleoside phosphate binding","GO:1901265","1","0","594","21","8","2920","O77344,Q8I377,Q8IAN4,Q8IDD9,Q8IHR4,Q8IHY1,Q8ILY1,Q9U0H1"
"GO:MF","molecular function activator activity","GO:0140677","1","0","8","21","1","2920","C0H598"
"GO:MF","ATP-dependent activity","GO:0140657","1","0","285","21","4","2920","Q8I377,Q8IAN4,Q8IHY1,Q8ILY1"
